epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62829,1.72371,4.10219,1.79587,0.00409,0.36481,0.04154,0.02122,1.49709,3.78719,1.61218,0.000120536,0.000120536,0.000120536
2,16.12,1.66451,3.43802,1.59075,0.00712,0.60491,0.12162,0.06668,1.50054,3.41354,1.48041,0.000244725,0.000244725,0.000244725
3,20.763,1.60566,2.91823,1.54638,0.62337,0.14013,0.19742,0.09693,1.54579,3.0472,1.48947,0.00036809,0.00036809,0.00036809
4,25.2964,1.6897,2.83977,1.55498,0.71028,0.10522,0.23797,0.10699,1.82692,3.04115,1.68145,0.00049063,0.00049063,0.00049063
5,29.8838,1.69577,2.71328,1.57636,0.32607,0.31943,0.21189,0.09833,1.83018,3.40513,1.92098,0.000612345,0.000612345,0.000612345
6,34.2936,1.72777,2.65696,1.63207,0.31937,0.30096,0.26691,0.11786,1.80184,2.799,1.82465,0.000733234,0.000733234,0.000733234
7,38.7531,1.71647,2.57821,1.58132,0.27144,0.25118,0.17553,0.07268,1.99541,3.82376,2.06404,0.000853299,0.000853299,0.000853299
8,43.1938,1.7783,2.65444,1.6821,0.24561,0.41294,0.25572,0.10259,1.92721,2.6327,2.01666,0.000972539,0.000972539,0.000972539
9,47.5468,1.74311,2.51088,1.68618,0.32329,0.48939,0.33635,0.15791,1.76595,2.71547,1.79392,0.00109095,0.00109095,0.00109095
10,51.9103,1.7351,2.38123,1.61381,0.45215,0.26732,0.274,0.11283,2.0584,3.2882,2.02676,0.00120854,0.00120854,0.00120854
11,56.2625,1.71095,2.38611,1.68261,0.52343,0.26669,0.31211,0.15526,1.77931,2.97151,1.84487,0.00120875,0.00120875,0.00120875
12,60.7689,1.73864,2.33325,1.65847,0.36403,0.36181,0.32435,0.14773,1.88091,2.40167,1.95017,0.00120462,0.00120462,0.00120462
13,65.2861,1.749,2.23094,1.65756,0.3411,0.25875,0.20362,0.08728,1.99257,3.88763,2.15715,0.0012005,0.0012005,0.0012005
14,69.9003,1.70922,2.19553,1.60968,0.41987,0.29855,0.2954,0.12186,1.98103,2.65515,2.02006,0.00119637,0.00119637,0.00119637
15,74.5905,1.69399,2.17878,1.59549,0.38287,0.32302,0.31411,0.14208,1.97413,2.39886,1.94541,0.00119225,0.00119225,0.00119225
16,79.3178,1.63449,2.05756,1.55605,0.39106,0.33062,0.32877,0.14706,1.84405,2.80505,1.87776,0.00118812,0.00118812,0.00118812
17,83.736,1.70969,2.03279,1.58785,0.44191,0.35093,0.31055,0.1278,1.89123,2.57327,1.88044,0.001184,0.001184,0.001184
18,88.2959,1.63836,2.00923,1.547,0.41129,0.44431,0.37867,0.17462,1.74114,2.75627,1.77594,0.00117988,0.00117988,0.00117988
19,92.8719,1.68964,1.99151,1.58643,0.45467,0.47641,0.41909,0.17738,1.84584,2.20894,1.87148,0.00117575,0.00117575,0.00117575
20,97.416,1.63159,1.88584,1.53383,0.51174,0.41381,0.40782,0.17617,1.81947,2.30357,1.85304,0.00117163,0.00117163,0.00117163
21,101.877,1.66084,1.85275,1.56739,0.52904,0.42449,0.42723,0.17333,1.95206,2.3142,1.93406,0.0011675,0.0011675,0.0011675
22,106.239,1.65878,1.85338,1.55888,0.54694,0.39385,0.42452,0.19495,1.72731,2.08532,1.73879,0.00116337,0.00116337,0.00116337
23,110.699,1.5917,1.76417,1.51416,0.55052,0.41782,0.45005,0.21592,1.71949,2.00854,1.68562,0.00115925,0.00115925,0.00115925
24,115.258,1.59302,1.76141,1.49561,0.57734,0.47989,0.48306,0.23326,1.71508,2.01549,1.7188,0.00115513,0.00115513,0.00115513
25,119.684,1.64211,1.80157,1.55691,0.54463,0.46508,0.46963,0.21622,1.71475,1.93456,1.72154,0.001151,0.001151,0.001151
26,124.119,1.57914,1.77768,1.55322,0.48879,0.48442,0.44719,0.19951,1.77665,2.20014,1.71887,0.00114688,0.00114688,0.00114688
27,128.548,1.54186,1.68806,1.47486,0.4797,0.51155,0.46049,0.20542,1.77292,1.93486,1.70823,0.00114275,0.00114275,0.00114275
28,133.043,1.57281,1.68242,1.49794,0.57297,0.38351,0.45632,0.20836,1.73769,1.9212,1.72539,0.00113863,0.00113863,0.00113863
29,137.552,1.6299,1.6916,1.4765,0.51648,0.46138,0.48691,0.22272,1.7403,1.84587,1.73515,0.0011345,0.0011345,0.0011345
30,142.078,1.54583,1.59548,1.46052,0.46691,0.5132,0.4749,0.22078,1.75673,1.87507,1.788,0.00113038,0.00113038,0.00113038
31,146.562,1.58702,1.65562,1.51854,0.54676,0.54142,0.54221,0.26291,1.68394,1.70468,1.7087,0.00112625,0.00112625,0.00112625
32,151.109,1.52081,1.5556,1.45084,0.61338,0.40436,0.48421,0.23958,1.71702,1.89894,1.68259,0.00112213,0.00112213,0.00112213
33,155.682,1.5623,1.55375,1.47417,0.64315,0.52175,0.57375,0.27716,1.62925,1.76448,1.62034,0.001118,0.001118,0.001118
34,160.139,1.53357,1.51018,1.44932,0.58325,0.52675,0.48943,0.24542,1.6399,2.32904,1.6562,0.00111388,0.00111388,0.00111388
35,164.635,1.53704,1.5763,1.48108,0.54686,0.53474,0.49448,0.23692,1.72416,1.83919,1.69757,0.00110975,0.00110975,0.00110975
36,169.129,1.50103,1.4688,1.39527,0.61641,0.48961,0.48876,0.22654,1.71135,1.96852,1.75748,0.00110563,0.00110563,0.00110563
37,173.656,1.50618,1.57107,1.44937,0.64309,0.52461,0.58063,0.27781,1.65667,1.71004,1.68645,0.0011015,0.0011015,0.0011015
38,178.117,1.49468,1.53812,1.45174,0.58122,0.50714,0.53475,0.24433,1.69677,1.83402,1.72073,0.00109738,0.00109738,0.00109738
39,182.66,1.4803,1.48882,1.47044,0.57161,0.52746,0.53507,0.24659,1.70486,1.86574,1.69439,0.00109325,0.00109325,0.00109325
40,187.003,1.48553,1.45653,1.41264,0.60929,0.50345,0.54903,0.25836,1.73596,1.87674,1.71676,0.00108913,0.00108913,0.00108913
41,191.478,1.47832,1.36897,1.41868,0.55297,0.52674,0.52023,0.24381,1.77402,1.86772,1.74727,0.001085,0.001085,0.001085
42,195.937,1.46027,1.36014,1.41647,0.54608,0.47764,0.49924,0.23558,1.75719,1.88141,1.73121,0.00108088,0.00108088,0.00108088
43,200.415,1.45932,1.41581,1.40995,0.5944,0.54465,0.57193,0.2656,1.75334,1.68659,1.69221,0.00107675,0.00107675,0.00107675
44,204.908,1.48214,1.40172,1.3946,0.58748,0.47657,0.50403,0.2261,1.8504,2.02184,1.75169,0.00107263,0.00107263,0.00107263
45,209.438,1.39921,1.32726,1.39354,0.66185,0.51094,0.55208,0.27594,1.65246,1.70811,1.65039,0.0010685,0.0010685,0.0010685
