epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1234,1.78249,3.79118,1.88907,0.25269,0.3707,0.23593,0.0988,1.59704,4.05982,1.81464,0.000120536,0.000120536,0.000120536
2,20.2418,1.66615,2.40483,1.64872,0.39161,0.41902,0.35064,0.15517,1.76114,2.81651,1.85788,0.000244725,0.000244725,0.000244725
3,27.2253,1.61812,2.07488,1.58134,0.41394,0.54705,0.38128,0.18062,1.7354,3.52989,1.83005,0.00036809,0.00036809,0.00036809
4,33.9671,1.65992,2.01691,1.5941,0.40333,0.41977,0.31907,0.12316,1.99143,2.42925,2.07445,0.00049063,0.00049063,0.00049063
5,40.5411,1.73009,2.13299,1.63639,0.29355,0.34722,0.1878,0.06708,2.06533,4.10398,2.43192,0.000612345,0.000612345,0.000612345
6,46.9547,1.77827,2.1073,1.67627,0.35331,0.31537,0.25582,0.11603,1.97774,3.51126,2.18248,0.000733234,0.000733234,0.000733234
7,53.2529,1.80435,2.11109,1.70102,0.33063,0.36629,0.28712,0.11539,2.02556,2.40815,2.04514,0.000853299,0.000853299,0.000853299
8,59.9243,1.84702,2.17648,1.75833,0.39369,0.26082,0.23889,0.1022,2.07089,5.64732,2.07933,0.000972539,0.000972539,0.000972539
9,66.5641,1.77333,2.08762,1.70582,0.30724,0.39793,0.24927,0.0964,2.00491,3.46691,2.11146,0.00109095,0.00109095,0.00109095
10,73.2213,1.78068,2.04001,1.67835,0.3216,0.39489,0.23385,0.07803,2.29897,7.76475,2.41819,0.00120854,0.00120854,0.00120854
11,79.7796,1.75294,2.05983,1.72259,0.2437,0.39537,0.23993,0.09462,2.09472,7.96671,2.27136,0.00120875,0.00120875,0.00120875
